id,title,content,publication_date,source_url,category
161,India calls Pakistan's claim of targeted killings 'false',Islamabad on Thursday accused India of killing two of its citizens on its soil in riot 2023.,2024-01-26 07:04:26.000000,https://www.bbc.co.uk/news/world-asia-india-68091822?at_medium=RSS&at_campaign=KARANGA,Others
162,Tamil Nadu: Chennai’s 'last Jew' fights for place in India’s history,Davvid Levi has been documenting the history of his family and that of other Jews in India's Chennai city.,2024-01-27 03:25:03.000000,https://www.bbc.co.uk/news/world-asia-india-67799316?at_medium=RSS&at_campaign=KARANGA,Others
163,India v England: 'Hyderabad Heist shows England are unmissable',"The astonishing victory over India in Hyderabad shows why you cannot take your eyes off the England Test team, says Stephan Shemilt.",2024-01-28 19:18:36.000000,https://www.bbc.co.uk/sport/cricket/68123032?at_medium=RSS&at_campaign=KARANGA,Others
164,Rohan Bopanna: 'Age is just a number',"India's Rohan Bopanna, 43, becomes the oldest men's doubles Grand Slam champion with victory at the Australian Open.",2024-01-27 15:42:34.000000,https://www.bbc.co.uk/sport/tennis/68117965?at_medium=RSS&at_campaign=KARANGA,Others
165,Adani Ports: The Tamil Nadu villagers taking on a billionaire's port plan,Locals in 100 villages of Tamil Nadu state are fighting the expansion of a port owned by Gautam Adani.,2024-01-24 02:39:32.000000,https://www.bbc.co.uk/news/world-asia-india-67942639?at_medium=RSS&at_campaign=KARANGA,Others
166,Umar Khalid: Indian activist languishes in jail without bail or trial,"Umar Khalid, who was arrested three years ago for alleged involvement in riots, is still waiting for a trial.",2024-01-23 00:32:22.000000,https://www.bbc.co.uk/news/world-asia-india-67980484?at_medium=RSS&at_campaign=KARANGA,Others
167,Women take the lead in Republic Day parade,"Every year, the country celebrates the day its constitution came into effect with a grand spectacle.",2024-01-26 09:05:05.000000,https://www.bbc.co.uk/news/world-asia-india-68091821?at_medium=RSS&at_campaign=KARANGA,Others
168,Watch: Crowds at India's new Ram temple in Ayodhya day after opening,The grand temple dedicated to the Hindu God Ram was inaugurated by Prime Minister Narendra Modi on Monday.,2024-01-23 09:47:15.000000,https://www.bbc.co.uk/news/world-asia-india-68066261?at_medium=RSS&at_campaign=KARANGA,Others
169,Indian PM Modi inaugurates temple in Ayodhya,The opening of the grand temple comes ahead of India's general elections.,2024-01-22 08:06:54.000000,https://www.bbc.co.uk/news/world-asia-india-68053468?at_medium=RSS&at_campaign=KARANGA,Others
170,Plane gets jammed under bridge in India,The scrap fuselage was on its way to Assam from Mumbai on a lorry when it got stuck.,2023-12-29 23:17:00.000000,https://www.bbc.co.uk/news/world-asia-india-67843833?at_medium=RSS&at_campaign=KARANGA,Others
171,Intruder jumps on table in Indian parliament,Lawmakers said two men jumped into the well of the house from the visitors' gallery.,2023-12-13 09:49:30.000000,https://www.bbc.co.uk/news/world-asia-india-67700660?at_medium=RSS&at_campaign=KARANGA,Others
172,Moment worker is pulled from collapsed tunnel,Fourty-one Indian workers are finally rescued from a tunnel that partially caved in after a landslide.,2023-11-28 15:13:21.000000,https://www.bbc.co.uk/news/world-asia-india-67552409?at_medium=RSS&at_campaign=KARANGA,Others
173,First video of trapped tunnel workers in India,Rescuers have shared a video of the 41 workers who have been trapped inside a tunnel since 12 November.,2023-11-21 05:58:33.000000,https://www.bbc.co.uk/news/world-asia-india-67482786?at_medium=RSS&at_campaign=KARANGA,Others
